PLAYER,TEAM,YEAR,GP,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV
Antoine Walker,BOS,2001,81,42.0,22.1,8.2,20.9,2.7,8.0,3.0,4.0,1.9,7.0,5.0,1.5,0.5,3.1
Gary Payton,SEA,2001,82,40.2,22.1,9.0,19.2,0.9,2.9,3.3,4.1,1.0,3.9,9.0,1.6,0.3,2.5
Ray Allen,MIL,2001,69,36.6,21.8,7.7,16.6,3.3,7.7,3.1,3.6,1.2,3.3,3.9,1.3,0.3,2.3
Cuttino Mobley,HOU,2001,74,42.1,21.7,8.0,18.4,2.0,5.1,3.6,4.2,0.9,3.2,2.5,1.5,0.5,2.4
Jerry Stackhouse,DET,2001,76,35.3,21.4,6.9,17.4,1.1,3.9,6.5,7.6,1.0,3.1,5.3,1.0,0.5,3.5
Shareef Abdur-Rahim,ATL,2001,77,38.7,21.2,7.8,16.8,0.3,0.9,5.4,6.8,2.6,6.5,3.1,1.3,1.1,3.2
Peja Stojakovic,SAC,2001,71,37.3,21.2,7.7,15.9,1.8,4.4,4.0,4.5,1.0,4.2,2.5,1.1,0.2,2.0
Kevin Garnett,MIN,2001,81,39.2,21.2,8.1,17.3,0.5,1.4,4.4,5.5,3.0,9.1,5.2,1.2,1.6,2.8
Michael Finley,DAL,2001,69,39.9,20.6,8.2,17.8,1.1,3.2,3.0,3.6,1.3,3.9,3.3,0.9,0.4,1.7
Jalen Rose,CHI,2001,83,38.0,20.4,8.0,17.6,1.1,3.0,3.4,4.0,0.5,4.0,4.3,0.9,0.5,2.4
Stephon Marbury,PHX,2001,82,38.9,20.4,7.6,17.2,0.9,3.0,4.3,5.5,0.9,2.3,8.1,0.9,0.2,3.5
Allan Houston,NYK,2001,77,37.9,20.4,7.4,16.9,1.8,4.5,3.8,4.4,0.5,2.8,2.5,0.7,0.1,2.2
Antawn Jamison,GSW,2001,82,37.0,19.7,7.5,16.8,0.8,2.6,3.9,5.4,2.6,4.2,2.0,0.9,0.5,2.0
Sam Cassell,MIL,2001,74,35.2,19.7,7.5,16.2,1.0,2.8,3.8,4.4,0.7,3.5,6.7,1.2,0.2,2.4
Latrell Sprewell,NYK,2001,81,41.1,19.4,7.1,17.5,1.8,5.0,3.5,4.3,0.7,3.0,3.9,1.2,0.2,2.8
Jason Terry,ATL,2001,78,38.1,19.3,6.7,15.6,2.2,5.7,3.6,4.4,0.5,2.9,5.7,1.8,0.2,2.3
Rasheed Wallace,POR,2001,79,37.5,19.3,7.6,16.3,1.4,4.0,2.5,3.5,1.7,6.4,1.9,1.3,1.3,1.7
Shawn Marion,PHX,2001,81,38.4,19.1,8.1,17.2,0.6,1.5,2.4,2.8,2.6,7.3,2.0,1.8,1.1,1.8
Jermaine O'Neal,IND,2001,72,37.6,19.0,7.5,15.7,0.0,0.2,3.9,5.7,2.6,7.9,1.6,0.6,2.3,2.4
Wally Szczerbiak,MIN,2001,82,38.1,18.7,7.4,14.6,1.1,2.3,2.8,3.3,1.5,3.3,3.1,0.8,0.3,2.2
Nick Van Exel,DAL,2001,72,34.7,18.4,7.0,17.0,1.7,4.9,2.8,3.5,0.4,3.1,6.6,0.6,0.2,2.2
Eddie Jones,MIA,2001,81,39.0,18.3,6.4,14.8,1.8,4.7,3.7,4.4,0.8,3.9,3.2,1.4,1.0,1.8
Elton Brand,LAC,2001,80,37.7,18.2,6.7,12.6,0.0,0.0,4.9,6.6,5.0,6.6,2.4,1.0,2.0,2.2
Baron Davis,CHH,2001,82,40.5,18.1,6.8,16.4,2.1,5.8,2.4,4.1,1.1,3.1,8.5,2.1,0.6,3.0
Steve Nash,DAL,2001,82,34.6,17.9,6.4,13.3,1.9,4.2,3.2,3.6,0.6,2.5,7.7,0.6,0.0,2.8
Pau Gasol,MEM,2001,82,36.7,17.6,6.7,13.0,0.0,0.1,4.1,5.8,2.9,6.0,2.7,0.5,2.1,2.7
Bonzi Wells,POR,2001,74,31.8,17.0,6.6,14.0,0.9,2.3,2.9,3.9,1.6,4.4,2.8,1.5,0.3,2.6
Rashard Lewis,SEA,2001,71,36.4,16.8,6.4,13.7,1.7,4.5,2.3,2.8,2.0,5.1,1.7,1.5,0.6,1.4
Lamond Murray,CLE,2001,71,32.5,16.6,6.1,13.9,1.4,3.4,3.0,3.7,1.1,4.1,2.2,1.0,0.6,2.0
Reggie Miller,IND,2001,79,36.6,16.5,5.2,11.6,2.3,5.6,3.7,4.1,0.3,2.5,3.2,1.1,0.1,1.5
Andre Miller,CLE,2001,81,37.3,16.5,5.9,12.9,0.3,1.1,4.5,5.5,1.3,3.3,10.9,1.6,0.4,3.0
Alonzo Mourning,MIA,2001,75,32.7,15.7,6.0,11.5,0.0,0.0,3.8,5.7,2.4,6.0,1.2,0.4,2.5,2.4
Wesley Person,CLE,2001,78,35.8,15.1,6.0,12.1,1.8,4.1,1.3,1.6,0.6,3.1,2.2,1.0,0.5,0.9
Kenyon Martin,NJN,2001,73,34.3,14.9,6.1,13.2,0.2,0.9,2.5,3.7,1.5,3.8,2.6,1.2,1.7,2.4
Keith Van Horn,NJN,2001,81,30.4,14.8,5.8,13.4,1.2,3.6,1.9,2.4,1.7,5.8,2.0,0.8,0.5,1.8
Jason Kidd,NJN,2001,82,37.3,14.7,5.4,13.9,1.4,4.4,2.5,3.0,1.6,5.7,9.9,2.1,0.2,3.5
Juwan Howard,DEN,2001,81,32.5,14.6,5.7,12.4,0.0,0.0,3.2,4.2,2.8,4.8,2.1,0.6,0.6,1.9
Jeff McInnis,LAC,2001,81,37.4,14.6,5.7,13.8,0.9,2.9,2.3,2.7,0.6,2.1,6.2,0.8,0.1,1.8
Clifford Robinson,DET,2001,80,35.7,14.6,5.7,13.4,1.4,3.8,1.8,2.6,1.0,3.8,2.5,1.1,1.2,1.9
Antonio Davis,TOR,2001,77,38.7,14.5,5.3,12.5,0.0,0.0,3.8,4.6,3.3,6.3,2.0,0.7,1.1,2.1
Shane Battier,MEM,2001,78,39.7,14.4,5.3,12.3,1.3,3.5,2.5,3.6,2.3,3.1,2.8,1.6,1.0,2.0
Jason Richardson,GSW,2001,80,32.9,14.4,5.8,13.6,1.0,3.1,1.8,2.6,1.6,2.7,3.0,1.3,0.4,2.0
Brent Barry,SEA,2001,81,37.5,14.4,5.0,9.8,2.0,4.8,2.4,2.9,0.7,4.7,5.3,1.8,0.5,2.0
Kenny Thomas,HOU,2001,72,34.5,14.1,5.5,11.5,0.0,0.2,3.1,4.7,2.2,5.0,1.9,1.2,0.9,2.0
Elden Campbell,CHH,2001,77,28.0,13.9,5.0,10.3,0.0,0.0,4.0,5.0,1.7,5.2,1.3,0.8,1.8,1.8
Kurt Thomas,NYK,2001,82,33.8,13.9,5.6,11.4,0.0,0.1,2.6,3.2,2.6,6.5,1.1,0.9,1.0,1.9
Mike Bibby,SAC,2001,80,33.2,13.7,5.6,12.3,0.6,1.7,1.9,2.4,0.5,2.3,5.0,1.1,0.2,1.7
Corliss Williamson,DET,2001,78,21.9,13.6,5.3,10.3,0.0,0.1,3.1,3.8,1.5,2.6,1.2,0.6,0.3,1.8
Brad Miller,IND,2001,76,29.8,13.6,4.8,9.6,0.0,0.1,3.9,5.0,3.3,4.9,2.0,1.0,0.5,1.5
Damon Stoudamire,POR,2001,75,37.2,13.5,4.9,12.2,1.4,3.9,2.3,2.6,1.0,2.9,6.5,0.9,0.1,2.0
Raef LaFrentz,DAL,2001,78,31.5,13.5,5.4,11.8,1.3,3.4,1.3,1.9,2.3,5.2,1.1,0.7,2.7,1.2
John Stockton,UTA,2001,82,31.3,13.4,4.9,9.5,0.3,1.0,3.4,3.9,0.7,2.5,8.2,1.9,0.3,2.5
Kerry Kittles,NJN,2001,82,31.7,13.4,5.3,11.5,1.2,3.0,1.6,2.1,0.8,2.5,2.6,1.6,0.4,1.3
Quentin Richardson,LAC,2001,81,26.6,13.3,4.9,11.4,1.6,4.3,1.8,2.3,1.4,2.7,1.6,1.0,0.3,1.3
Chauncey Billups,MIN,2001,82,28.7,12.5,4.2,10.0,1.5,3.8,2.5,2.9,0.4,2.3,5.5,0.8,0.2,1.7
Desmond Mason,SEA,2001,75,32.2,12.4,4.8,10.3,0.2,0.8,2.7,3.2,1.2,3.5,1.4,0.9,0.4,1.4
Darrell Armstrong,ORL,2001,82,33.3,12.4,4.2,10.1,1.7,4.9,2.2,2.5,1.0,2.9,5.5,1.9,0.1,2.1
Marcus Fizer,CHI,2001,76,25.9,12.3,4.9,11.2,0.1,0.5,2.5,3.7,1.7,3.9,1.6,0.6,0.3,1.7
Larry Hughes,GSW,2001,73,28.0,12.3,4.7,11.1,0.2,1.3,2.6,3.5,1.1,2.2,4.3,1.5,0.3,2.3
David Robinson,SAS,2001,78,29.6,12.2,4.4,8.6,0.0,0.0,3.4,5.1,2.4,5.8,1.2,1.1,1.8,1.3
Chucky Atkins,DET,2001,79,28.9,12.1,4.7,10.0,1.7,4.3,1.1,1.5,0.4,1.6,3.3,0.9,0.1,1.6
Doug Christie,SAC,2001,81,34.5,12.0,4.2,9.1,1.1,3.2,2.5,3.0,0.9,3.7,4.2,2.0,0.3,2.0
Anfernee Hardaway,PHX,2001,80,30.8,12.0,4.9,11.6,0.3,1.0,2.0,2.4,1.2,3.2,4.1,1.5,0.4,2.4
Rodney Rogers,BOS,2001,77,24.4,11.9,4.6,9.8,1.1,3.1,1.5,1.9,1.7,2.8,1.5,0.9,0.4,1.4
Alvin Williams,TOR,2001,82,35.7,11.8,4.9,11.8,0.8,2.4,1.3,1.7,0.7,2.7,5.7,1.6,0.3,1.8
Matt Harpring,PHI,2001,81,31.4,11.8,4.8,10.3,0.3,0.9,2.0,2.7,2.5,4.6,1.3,0.9,0.1,1.6
Tim Thomas,MIL,2001,74,26.9,11.7,4.3,10.2,1.3,3.9,1.9,2.4,0.9,3.2,1.4,0.9,0.4,1.7
Troy Hudson,ORL,2001,81,22.9,11.7,4.4,10.1,0.8,2.3,2.2,2.5,0.4,1.4,3.1,0.7,0.1,2.0
Ricky Davis,CLE,2001,82,23.8,11.7,4.6,9.5,0.1,0.4,2.4,3.0,0.8,2.2,2.2,0.8,0.3,1.8
Steven Smith,SAS,2001,77,28.7,11.6,4.0,8.9,1.5,3.2,2.1,2.4,0.6,1.9,2.0,0.7,0.2,1.4
Dikembe Mutombo,PHI,2001,80,36.3,11.5,4.0,8.0,0.0,0.0,3.5,4.6,3.2,7.6,1.0,0.4,2.4,2.0
Voshon Lenard,DEN,2001,71,23.3,11.5,4.4,10.8,1.3,3.4,1.3,1.7,0.5,2.0,1.8,0.8,0.4,1.3
Keon Clark,TOR,2001,81,27.0,11.3,4.7,9.6,0.0,0.1,1.9,2.8,2.2,5.2,1.1,0.7,1.5,1.7
Derek Fisher,LAL,2001,70,28.2,11.2,3.9,9.5,2.1,5.0,1.3,1.6,0.2,1.9,2.6,0.9,0.1,0.9
Danny Fortson,GSW,2001,77,28.8,11.2,4.0,9.4,0.0,0.1,3.2,4.0,3.8,7.9,1.6,0.6,0.2,2.1
Ruben Patterson,POR,2001,75,23.5,11.2,4.3,8.3,0.1,0.5,2.6,3.7,2.1,1.9,1.4,1.1,0.5,1.5
Vlade Divac,SAC,2001,80,30.3,11.1,4.2,9.0,0.0,0.2,2.6,4.3,2.6,5.8,3.7,1.0,1.2,2.0
Michael Olowokandi,LAC,2001,80,32.1,11.1,4.8,11.1,0.0,0.0,1.5,2.4,2.1,6.8,1.1,0.7,1.8,2.2
Bobby Jackson,SAC,2001,81,21.6,11.1,4.1,9.3,1.0,2.7,1.8,2.3,1.0,2.1,2.0,0.9,0.1,1.1
Pat Garrity,ORL,2001,80,30.0,11.1,4.1,9.6,2.1,5.0,0.8,0.9,1.0,3.3,1.2,0.8,0.4,0.9
Derek Anderson,POR,2001,70,26.5,10.8,3.5,8.7,1.2,3.3,2.5,3.0,0.7,2.0,3.1,1.0,0.1,1.2
Lee Nailon,CHH,2001,79,24.2,10.8,4.7,9.7,0.0,0.0,1.4,1.9,1.3,2.4,1.2,0.7,0.2,1.2
Andrei Kirilenko,UTA,2001,82,26.3,10.7,3.5,7.7,0.3,1.2,3.5,4.5,1.8,3.1,1.1,1.4,1.9,1.3
James Posey,DEN,2001,73,30.7,10.7,3.8,10.1,0.9,3.2,2.2,2.8,1.5,4.4,2.5,1.6,0.5,1.7
Joe Smith,MIN,2001,72,26.7,10.7,4.1,8.1,0.0,0.0,2.4,2.9,2.1,4.2,1.1,0.5,0.8,1.2
Rod Strickland,MIA,2001,76,30.1,10.4,4.2,9.4,0.1,0.3,2.0,2.6,0.6,2.4,6.1,1.1,0.1,2.1
Chris Whitney,WAS,2001,82,26.5,10.2,3.3,8.0,1.6,3.9,1.9,2.1,0.1,1.7,3.8,0.9,0.1,1.0
Hedo Turkoglu,SAC,2001,80,24.6,10.1,3.6,8.6,0.8,2.1,2.1,2.9,0.8,3.8,2.0,0.7,0.4,1.0
Bob Sura,GSW,2001,78,22.9,10.0,3.2,7.6,0.5,1.7,3.0,4.2,1.1,2.1,3.5,1.1,0.2,1.7
Nazr Mohammed,ATL,2001,82,26.4,9.7,4.0,8.7,0.0,0.0,1.7,2.7,3.0,5.0,0.4,0.8,0.7,1.4
Kenny Anderson,BOS,2001,76,31.9,9.6,4.1,9.4,0.1,0.4,1.3,1.7,0.8,2.9,5.3,1.9,0.1,1.6
Anthony Mason,MIL,2001,82,38.3,9.6,3.9,7.6,0.0,0.0,1.9,2.7,1.5,6.4,4.2,0.7,0.3,1.6
Dale Davis,POR,2001,78,31.4,9.5,3.8,7.4,0.0,0.0,1.9,2.7,3.4,5.5,1.2,0.8,1.1,0.8
Darius Miles,LAC,2001,82,27.1,9.5,3.8,7.8,0.0,0.2,1.9,3.1,1.3,4.2,2.2,0.9,1.3,2.0
Malik Rose,SAS,2001,82,21.1,9.4,3.6,7.7,0.0,0.1,2.3,3.1,2.1,3.9,0.7,0.9,0.5,1.7
Richard Jefferson,NJN,2001,79,24.3,9.4,3.4,7.5,0.2,0.7,2.4,3.4,1.1,2.6,1.8,0.8,0.6,1.4
Jamaal Tinsley,IND,2001,80,30.5,9.4,3.6,9.5,0.5,2.2,1.6,2.3,1.0,2.8,8.1,1.7,0.5,3.4
Brian Grant,MIA,2001,72,31.3,9.3,4.0,8.5,0.0,0.0,1.4,1.7,2.3,5.7,1.9,0.7,0.4,1.7
Antonio Daniels,SAS,2001,82,26.5,9.2,3.3,7.5,0.7,2.4,1.9,2.6,0.3,1.9,2.8,0.6,0.1,0.9
Tony Parker,SAS,2001,77,29.4,9.2,3.5,8.3,0.8,2.5,1.4,2.1,0.4,2.1,4.3,1.2,0.1,2.0
Lucious Harris,NJN,2001,74,21.0,9.1,3.4,7.3,0.6,1.6,1.8,2.1,0.7,2.1,1.6,0.7,0.1,0.8
Jon Barry,DET,2001,82,24.2,9.0,3.1,6.4,1.5,3.1,1.3,1.4,0.5,2.3,3.3,1.1,0.2,1.4
Anthony Peeler,MIN,2001,82,25.1,9.0,3.5,8.3,1.4,3.5,0.6,0.7,0.5,2.1,2.2,0.7,0.1,0.9
Eric Piatkowski,LAC,2001,71,24.2,8.8,2.9,6.6,1.6,3.4,1.4,1.6,0.6,2.0,1.6,0.6,0.2,0.9
Eddie Griffin,HOU,2001,73,26.0,8.8,3.3,9.1,1.2,3.7,0.9,1.2,1.6,4.1,0.7,0.2,1.8,0.6
Trenton Hassell,CHI,2001,78,28.7,8.7,3.4,8.1,0.8,2.1,1.1,1.5,0.8,2.4,2.2,0.7,0.6,1.3
Jamaal Magloire,CHH,2001,82,18.9,8.5,2.8,5.0,0.0,0.0,3.0,4.1,1.9,3.8,0.4,0.3,1.0,1.4
Rasho Nesterovic,MIN,2001,82,27.0,8.4,4.0,8.0,0.0,0.0,0.5,0.9,2.4,4.1,0.9,0.5,1.3,1.1
Mark Jackson,NYK,2001,82,28.9,8.4,3.2,7.2,1.0,2.4,1.1,1.3,0.7,3.1,7.4,0.9,0.0,1.8
P.J. Brown,CHH,2001,80,32.0,8.4,3.1,6.6,0.0,0.0,2.1,2.5,3.4,6.4,1.3,0.7,1.0,1.1
DerMarr Johnson,ATL,2001,72,24.0,8.4,3.0,7.5,1.2,3.4,1.2,1.5,0.8,2.6,1.1,0.9,0.8,1.4
Jumaine Jones,CLE,2001,81,26.5,8.3,3.5,7.9,0.6,2.1,0.6,0.8,1.5,4.5,1.4,0.9,0.6,1.0
Moochie Norris,HOU,2001,82,27.4,8.1,3.1,7.7,0.4,1.6,1.5,2.1,0.9,2.1,4.9,1.0,0.0,1.9
Horace Grant,ORL,2001,76,29.1,8.0,3.5,6.8,0.0,0.0,1.1,1.5,2.1,4.2,1.4,0.8,0.6,0.7
Rick Fox,LAL,2001,82,27.9,7.9,3.1,7.4,0.8,2.5,0.9,1.0,1.1,3.6,3.5,0.8,0.3,1.6
Travis Best,CHI,2001,74,23.6,7.9,3.1,7.0,0.3,0.8,1.4,1.6,0.3,1.8,4.4,1.2,0.1,1.3
Tyronn Lue,WAS,2001,71,20.6,7.8,3.1,7.3,0.9,2.0,0.7,0.9,0.2,1.5,3.5,0.7,0.0,1.4
Othella Harrington,NYK,2001,77,20.3,7.7,3.1,5.8,0.0,0.0,1.6,2.2,1.6,2.9,0.5,0.4,0.5,1.2
Chris Mihm,CLE,2001,74,22.4,7.7,3.0,7.1,0.0,0.1,1.7,2.4,1.8,3.5,0.3,0.2,1.2,1.3
Erick Strickland,BOS,2001,79,20.8,7.7,2.4,6.2,1.2,3.1,1.7,2.0,0.3,2.4,2.3,0.7,0.0,1.2
Ben Wallace,DET,2001,80,36.5,7.6,3.2,6.0,0.0,0.0,1.2,2.9,4.0,9.0,1.4,1.7,3.5,0.9
Erick Dampier,GSW,2001,73,23.8,7.6,2.9,6.6,0.0,0.0,1.9,2.9,2.3,3.0,1.2,0.2,2.3,2.1
Joe Johnson,PHX,2001,77,24.9,7.5,3.3,7.6,0.5,1.7,0.5,0.7,1.0,2.4,2.3,0.8,0.3,0.9
Jonathan Bender,IND,2001,78,21.1,7.4,2.5,5.9,0.6,1.6,1.8,2.3,0.8,2.3,0.8,0.2,0.6,1.2
Aaron Williams,NJN,2001,82,18.9,7.2,2.8,5.4,0.0,0.0,1.6,2.3,1.4,2.7,0.9,0.4,0.9,1.0
Devean George,LAL,2001,82,21.5,7.1,2.6,6.4,0.8,2.2,1.0,1.5,1.0,2.7,1.4,0.9,0.5,0.8
Popeye Jones,WAS,2001,79,24.3,7.0,2.8,6.4,0.1,0.1,1.3,1.6,2.9,4.4,1.6,0.6,0.2,1.1
Zeljko Rebraca,DET,2001,74,15.9,6.9,2.6,5.1,0.0,0.0,1.8,2.4,1.1,2.8,0.5,0.4,1.0,1.1
Tony Battie,BOS,2001,74,24.6,6.9,2.9,5.3,0.0,0.0,1.2,1.8,2.5,4.0,0.5,0.8,0.9,0.7
Robert Horry,LAL,2001,81,26.4,6.8,2.3,5.7,0.9,2.5,1.3,1.7,1.6,4.3,2.9,1.0,1.1,1.1
Austin Croshere,IND,2001,76,16.9,6.8,2.4,5.9,0.6,1.9,1.3,1.5,1.0,2.9,1.0,0.3,0.4,0.9
Eddy Curry,CHI,2001,72,16.0,6.7,2.6,5.2,0.0,0.0,1.5,2.2,1.5,2.2,0.3,0.2,0.7,1.0
Scott Padgett,UTA,2001,75,17.2,6.7,2.5,5.3,0.7,1.5,1.0,1.4,1.5,2.3,1.1,0.6,0.2,0.9
Jacque Vaughn,ATL,2001,82,22.6,6.6,2.5,5.3,0.3,0.7,1.3,1.5,0.2,1.8,4.3,0.8,0.0,1.4
Kelvin Cato,HOU,2001,75,25.6,6.6,2.5,4.3,0.0,0.0,1.5,2.6,2.3,4.7,0.4,0.5,1.3,0.7
Jarron Collins,UTA,2001,70,20.6,6.4,2.3,4.9,0.0,0.0,1.9,2.6,2.0,2.3,0.8,0.4,0.3,0.8
Eric Williams,BOS,2001,74,23.6,6.4,1.9,5.2,0.3,1.2,2.2,3.0,0.8,2.2,1.5,1.0,0.1,1.3
Scot Pollard,SAC,2001,80,23.5,6.4,2.5,4.5,0.0,0.0,1.4,2.1,2.4,4.7,0.7,0.9,1.0,0.9
Tyrone Nesby,WAS,2001,70,21.4,6.3,2.6,6.0,0.2,0.7,0.9,1.3,1.5,3.0,1.3,0.9,0.3,0.7
Tyson Chandler,CHI,2001,71,19.6,6.1,2.1,4.3,0.0,0.0,1.9,3.1,1.6,3.2,0.8,0.4,1.3,1.4
Shawn Kemp,POR,2001,75,16.5,6.1,2.3,5.4,0.0,0.1,1.4,1.7,1.2,2.6,0.7,0.6,0.4,1.1
Troy Murphy,GSW,2001,82,17.7,5.9,2.2,5.2,0.0,0.1,1.5,1.9,1.2,2.7,0.9,0.4,0.3,1.0
Lindsey Hunter,LAL,2001,82,19.7,5.8,2.3,6.0,1.0,2.5,0.2,0.5,0.2,1.3,1.6,0.8,0.2,0.7
Kevin Ollie,IND,2001,81,21.3,5.7,1.7,4.4,0.0,0.0,2.3,2.8,0.3,2.0,3.6,0.8,0.0,1.3
Jeff Foster,IND,2001,82,21.8,5.7,2.2,4.8,0.0,0.2,1.4,2.2,2.5,4.3,0.9,0.9,0.5,1.0
Terry Porter,SAS,2001,72,17.9,5.5,1.9,4.5,0.8,2.0,0.9,1.2,0.2,2.1,2.8,0.6,0.2,1.2
Tony Massenburg,MEM,2001,73,17.1,5.5,2.2,4.8,0.0,0.0,1.2,1.6,1.4,3.1,0.4,0.4,0.4,0.9
Jahidi White,WAS,2001,71,19.0,5.4,2.1,3.9,0.0,0.0,1.2,2.2,2.2,4.0,0.2,0.4,1.1,0.9
Shandon Anderson,NYK,2001,82,19.5,5.0,1.8,4.5,0.5,1.7,0.9,1.3,0.7,2.3,0.9,0.6,0.2,1.2
Ryan Bowen,DEN,2001,75,22.5,4.9,2.0,4.1,0.0,0.2,0.9,1.2,1.8,2.2,0.7,1.0,0.5,0.5
Hanno Mottola,ATL,2001,82,16.7,4.8,2.1,4.7,0.0,0.2,0.7,0.9,1.0,2.3,0.6,0.2,0.2,0.9
Adonal Foyle,GSW,2001,79,18.8,4.8,2.2,4.9,0.0,0.0,0.5,1.2,1.9,3.0,0.5,0.5,2.1,1.0
Stacey Augmon,CHH,2001,77,17.1,4.6,1.8,4.3,0.0,0.0,1.0,1.3,0.8,2.2,1.3,0.7,0.2,0.7
Slava Medvedenko,LAL,2001,71,10.2,4.7,2.0,4.3,0.0,0.1,0.6,0.9,1.2,1.0,0.6,0.4,0.2,0.6
Vitaly Potapenko,BOS,2001,79,17.0,4.6,1.7,3.8,0.0,0.0,1.1,1.5,2.1,2.3,0.4,0.5,0.2,0.8
Jason Collins,NJN,2001,77,18.2,4.5,1.5,3.6,0.0,0.0,1.5,2.1,1.7,2.2,1.1,0.4,0.6,0.9
Bo Outlaw,PHX,2001,83,23.2,4.5,2.0,3.6,0.0,0.0,0.5,1.2,1.8,2.6,1.5,0.8,1.1,1.2
Fred Hoiberg,CHI,2001,79,17.8,4.4,1.5,3.7,0.3,1.2,1.0,1.2,0.2,2.4,1.7,0.8,0.1,0.4
Darvin Ham,MIL,2001,70,17.2,4.3,1.7,3.0,0.0,0.1,0.9,1.8,1.3,1.6,1.0,0.4,0.5,1.2
Michael Curry,DET,2001,82,23.2,4.0,1.5,3.4,0.1,0.3,0.9,1.1,0.2,1.9,1.5,0.6,0.1,0.7
Corie Blount,PHI,2001,72,19.9,3.6,1.6,3.5,0.0,0.0,0.4,0.6,2.1,3.0,0.6,0.7,0.4,0.7
Raja Bell,PHI,2001,74,12.1,3.4,1.4,3.2,0.2,0.6,0.5,0.6,0.4,1.1,1.0,0.3,0.1,0.6
Greg Ostertag,UTA,2001,74,15.0,3.3,1.2,2.7,0.0,0.0,0.9,1.8,1.7,2.5,0.7,0.2,1.5,0.7
Sam Mitchell,MIN,2001,74,9.8,3.3,1.3,3.1,0.1,0.5,0.5,0.7,0.2,0.9,0.6,0.2,0.1,0.4
Joel Przybilla,MIL,2001,71,15.9,2.7,1.1,2.0,0.0,0.0,0.5,1.3,1.1,2.9,0.3,0.3,1.7,0.6
Ervin Johnson,MIL,2001,81,20.5,2.6,1.1,2.4,0.0,0.0,0.4,0.8,1.8,4.0,0.3,0.5,1.0,0.6
Tracy McGrady,ORL,2002,75,39.4,32.1,11.1,24.2,2.3,6.0,7.7,9.7,1.6,4.9,5.5,1.7,0.8,2.6
Kobe Bryant,LAL,2002,82,41.5,30.0,10.6,23.5,1.5,4.0,7.3,8.7,1.3,5.6,5.9,2.2,0.8,3.5
Allen Iverson,PHI,2002,82,42.5,27.6,9.8,23.7,1.0,3.7,7.0,9.0,0.8,3.4,5.5,2.7,0.2,3.5
Shaquille O'Neal,LAL,2002,67,37.8,27.5,10.4,18.1,0.0,0.0,6.7,10.8,3.9,7.2,3.1,0.6,2.4,2.9
Paul Pierce,BOS,2002,79,39.2,25.9,8.4,20.2,1.5,4.9,7.6,9.5,1.3,6.0,4.4,1.8,0.8,3.6
Dirk Nowitzki,DAL,2002,80,39.0,25.1,8.6,18.6,1.9,4.9,6.0,6.9,1.0,8.9,3.0,1.4,1.0,1.9
Tim Duncan,SAS,2002,81,39.3,23.3,8.8,17.2,0.1,0.3,5.6,7.8,3.2,9.7,3.9,0.7,2.9,3.1
Chris Webber,SAC,2002,67,39.1,23.0,9.9,21.4,0.1,0.3,3.2,5.3,2.4,8.1,5.4,1.6,1.3,3.2
Kevin Garnett,MIN,2002,82,40.5,23.0,9.1,18.1,0.2,0.9,4.6,6.1,3.0,10.5,6.0,1.4,1.6,2.8
Ray Allen,SEA,2002,76,37.9,22.5,7.9,17.9,2.6,7.0,4.2,4.5,1.2,3.8,4.4,1.4,0.2,2.6
Allan Houston,NYK,2002,82,37.9,22.5,8.0,17.9,2.2,5.5,4.4,4.8,0.3,2.5,2.7,0.7,0.1,2.2
Stephon Marbury,PHX,2002,81,40.0,22.3,8.3,18.9,1.1,3.7,4.6,5.8,0.7,2.6,8.1,1.3,0.2,3.2
Antawn Jamison,GSW,2002,82,39.3,22.2,8.4,17.9,0.8,2.5,4.6,5.8,2.4,4.7,1.9,0.9,0.5,2.2
Jalen Rose,CHI,2002,82,40.9,22.1,7.8,19.3,1.6,4.4,4.9,5.7,0.8,3.5,4.8,0.9,0.3,3.5
Jamal Mashburn,NOH,2002,82,40.5,21.6,8.2,19.3,1.5,3.7,3.8,4.5,0.8,5.3,5.6,1.0,0.2,2.8
Jerry Stackhouse,WAS,2002,70,39.2,21.5,7.0,17.2,1.0,3.5,6.5,7.4,0.9,2.8,4.5,0.9,0.4,2.8
Shawn Marion,PHX,2002,81,41.6,21.2,8.2,18.1,1.7,4.5,3.1,3.6,2.5,7.1,2.4,2.3,1.2,1.9
Steve Francis,HOU,2002,81,41.0,21.0,7.0,16.2,1.0,3.0,5.9,7.3,2.0,4.2,6.2,1.7,0.5,3.7
Glenn Robinson,ATL,2002,69,37.6,20.8,7.8,18.1,1.3,3.8,3.9,4.4,1.2,5.4,3.0,1.3,0.4,3.6
Jermaine O'Neal,IND,2002,77,37.2,20.8,7.9,16.4,0.1,0.3,4.8,6.6,2.6,7.7,2.0,0.9,2.3,2.3
Ricky Davis,CLE,2002,79,39.6,20.6,7.6,18.6,0.9,2.6,4.4,5.9,1.2,3.7,5.5,1.6,0.5,3.5
Karl Malone,UTA,2002,81,36.2,20.6,7.3,15.9,0.0,0.2,5.9,7.7,1.4,6.4,4.7,1.7,0.4,2.6
Gary Payton,MIL,2002,80,40.1,20.4,8.3,18.3,0.7,2.3,3.1,4.4,1.0,3.2,8.3,1.7,0.3,2.3
